,Diluted Equity,ROA,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Investing Cash Flow,Tax Effect of Unusual Items,Pretax Income
445,0.0,-0.38638875075971046,56050.0,16346.0,16346.0,16346.0,35969.0,26856.0,8527.0,-2838.0,77429.0,4324.0,-186.84,-28433.0
446,-12.756590000000001,-0.7857122454226056,19464.0,15545.0,15545.0,15545.0,15545.0,24184.0,21321.0,-27428.0,0.0,21971.0,0.0,-12794.0
447,0.0,-0.5069657571192083,15442.0,38321.0,38321.0,38321.0,38321.0,9839.0,25931.0,-27888.0,0.0,5330.0,-2.1357,-28059.0
448,-78.342,-0.5746884797520931,36014.0,101457.0,101457.0,101457.0,101457.0,54200.0,1451.0,-48761.0,1077.0,82583.0,0.0,-78166.0
449,0.0,0.01612308073652396,1064628.0,710467.0,710467.0,-440375.0,1479274.0,25856.0,300881.0,95133.0,955097.0,-387662.0,0.0,31225.0
450,-84.456,-0.21434119209280184,61546.0,337584.0,337584.0,337584.0,367226.0,334757.0,341597.0,-72248.0,0.0,-49609.0,0.0,-85526.0
451,0.0,0.22842168066900795,41130.0,371182.0,371182.0,371182.0,371182.0,31269.0,-28645.0,136117.0,306486.0,-117828.0,0.0,116676.0
452,-50.7675,-0.3867399924833368,13238.0,117139.0,117139.0,117139.0,117139.0,40826.0,67.0,-46381.0,1193.0,41667.0,0.0,-50422.0
453,-36.2178,-0.2973385864758382,8892.0,115478.0,115478.0,115478.0,115478.0,51214.0,77366.0,-33277.0,0.0,-17747.0,0.0,-36980.0
454,-46.96,-0.5579704947038711,12535.0,71111.0,71111.0,71111.0,71111.0,5154.0,24.0,-37321.0,0.0,3255.0,0.0,-46672.0
455,0.0,-0.03384059149298415,53464.0,51085.0,51123.0,19321.0,69623.0,28213.0,-5081.0,3056.0,47534.0,2298.0,0.0,-3626.0
456,68.3196,0.06267436105111591,127327.0,939425.0,939425.0,939190.0,939425.0,948812.0,430983.0,56677.0,289590.0,1325.0,0.0,67306.0
457,0.0,-0.8415082108902333,28350.0,17930.0,23688.0,23688.0,32955.0,31144.0,-5607.0,-27822.0,3345.0,28132.0,0.0,-40023.0
458,-104.2728,-0.29957044321118603,290169.0,51113.0,51113.0,48852.0,51113.0,189342.0,1627.0,-140480.0,57489.0,79701.0,0.0,-102665.0
459,-37.471399999999996,-0.5125200754137281,17021.0,54584.0,54584.0,54584.0,54584.0,44440.0,50790.0,-30797.0,3458.0,3447.0,0.0,-36286.0
460,0.0,-0.10856529919639873,67796.0,45942.0,45942.0,44603.0,45942.0,26316.0,1414.0,-2217.0,181712.0,1067.0,0.0,-12263.0
461,0.0,-0.7646072576940744,173422.0,-42802.0,-42802.0,-48500.0,22216.0,30684.0,67979.0,-86963.0,17416.0,28181.0,0.0,-100125.0
462,-120.9075,-0.4198968993906437,300751.0,-10937.0,-10937.0,-10937.0,118320.0,36433.0,159791.0,-90907.0,26868.0,-74707.0,0.0,-121692.0
463,0.0,-1.9164315464194546,7002.0,440.826,440.826,440.826,440.826,4780.0,5152.0,-13315.0,0.0,6144.0,0.0,-14264.0
464,-167.765,-0.6360342228627276,69913.0,171563.0,171563.0,171521.0,173371.0,172027.0,182791.0,-128519.0,0.0,-5058.0,0.0,-153042.0
465,-192.91049999999998,-0.30889013494342143,75942.0,546467.0,546467.0,546467.0,546467.0,120320.0,436374.0,-149296.0,25000.0,-460522.0,0.0,-192256.0
466,0.0,-1.1762951507787474,1436.0,7617.0,7617.0,7617.0,7617.0,3883.0,70.0,-9102.0,0.0,-3908.0,0.0,-10618.0
467,-19.614,-1.132117950689144,5722.0,12489.0,12489.0,12489.0,12489.0,15374.0,28622.0,-17791.0,3364.0,-210.0,0.0,-19689.0
468,-200.77679999999998,-0.3571997953838451,158341.0,394890.0,394890.0,394890.0,394890.0,80949.0,6190.0,-151576.0,26678.0,147712.0,0.0,-197965.0
469,-5.3065999999999995,-0.026071113074204948,49863.0,40697.0,21095.0,-11786.0,42169.0,2061.0,5666.0,400.0,114185.0,-5818.0,-193.475,-5268.0
470,-123.1704,-0.2016357302953253,445214.0,152195.0,152195.0,152195.0,152195.0,156710.0,52888.0,-692.0,23904.0,49531.0,0.0,-120459.0
471,0.0,-0.23922343641013719,63160.0,22860.0,22860.0,16461.0,43122.0,35074.0,19503.0,11101.0,29564.0,-27324.0,0.0,-20578.0
472,-158.4528,-0.47208565654249146,270778.0,8290.0,8290.0,3709.0,186891.0,40100.0,154351.0,-121252.0,35219.0,-42782.0,0.0,-152600.0
473,101.53,0.04221294363256785,1512400.0,882600.0,882600.0,864000.0,1942300.0,446400.0,10700.0,314500.0,1476000.0,-1015200.0,0.0,104200.0
474,269.28,0.03532483232398377,3508000.0,5094900.0,5092500.0,-480300.0,6527900.0,404900.0,-466100.0,632800.0,4029200.0,-68400.0,-12804.0,345400.0
475,-13.4225,-0.9040520807982477,2400.0,14036.0,-13393.0,-13393.0,-13393.0,14632.0,19989.0,-11834.0,0.0,-1647.0,0.0,-14859.0
476,-44.07,-1.2320230105465004,10565.0,24897.0,24262.0,24262.0,24373.0,13564.0,160.843,-45067.0,2390.0,50971.0,-539.2688,-45130.0
477,0.0,0.02672043415994573,25710.0,27358.0,27358.0,24176.0,32290.0,20886.0,-664.0,3800.0,44911.0,-1532.0,42.147,2191.0
478,-134.9541,-0.26282165911748234,246448.0,262437.0,262437.0,262437.0,262437.0,239802.0,131824.0,-40669.0,20531.0,12252.0,0.0,-133746.0
479,14.139000000000001,0.05622775521107506,75380.0,179174.0,179174.0,123848.0,217731.0,109775.0,-24225.0,55986.0,195892.0,-777.0,0.0,21998.0
480,-36.625,-0.18562947698950055,32393.0,171427.0,171427.0,171427.0,187539.0,191157.0,65885.0,-31648.0,26691.0,-227.0,0.0,-37835.0
481,-70.6366,-0.6681821208114972,48659.0,56480.0,56480.0,56480.0,86870.0,39373.0,58196.0,-63614.0,0.0,-16471.0,0.0,-70252.0
482,-9.6209,-0.4776765375854214,6278.0,11282.0,11282.0,11282.0,11282.0,5524.0,8306.0,-7041.0,0.0,-6359.0,0.0,-9384.0
483,46.1296,0.09469222932901074,27337.0,462492.0,462492.0,462492.0,462492.0,51838.0,2574.0,71418.0,205197.0,-86664.0,0.0,45557.0
484,-17.25,-1.8542363433667781,2416.0,4761.0,4761.0,4761.0,5059.0,6174.0,8335.0,-8589.0,0.0,-43.595,0.0,-13306.0
485,0.0,-0.6462910854337545,4784.0,11919.0,11919.0,11314.0,11919.0,15185.0,12652.0,-8919.0,236.0,3946.0,0.0,-10795.0
486,-170.7929,-0.4010819875220507,93452.0,331137.0,293705.0,293705.0,317014.0,140991.0,286346.0,-147168.0,23800.0,-85320.0,0.0,-170237.0
487,-26.067,-0.4609373593330813,13691.0,41848.0,41848.0,41848.0,51529.0,13219.0,9836.0,-22949.0,0.0,-2166.0,0.0,-25600.0
488,-37.667699999999996,-0.5285627520118772,32987.0,85559.0,85559.0,84956.0,86980.0,73173.0,40.0,-43310.0,0.0,-19838.0,0.0,-62660.0
489,-97.524,-0.4530956366841224,194497.0,19950.0,19950.0,19894.0,19950.0,167058.0,136195.0,-70341.0,148364.0,64231.0,0.0,-97165.0
490,-39.0298,-0.34737537650925504,76917.0,39614.0,39614.0,35708.0,87756.0,37655.0,22789.0,-29983.0,89565.0,-7766.0,998.4,-37510.0
491,-17.761,-1.0731021555763824,6522.0,10550.0,10550.0,9825.0,15090.0,12066.0,5203.0,-18026.0,959.0,-1846.0,0.0,-18320.0
492,-43.428,-0.8592311008347376,8877.0,42157.0,42157.0,42157.0,42157.0,16034.0,57.0,-44743.0,7000.0,11360.0,0.0,-43173.0
493,-80.458,-2.6284502562290157,12659.0,15636.0,15636.0,15636.0,15636.0,16625.0,78076.0,-55097.0,0.0,-8115.0,-2094.0,-80029.0
494,-86.4864,-0.9400791904971404,30723.0,60197.0,60197.0,60197.0,79831.0,79333.0,4992.0,-71980.0,0.0,51970.0,0.0,-85282.0
495,-90.36160000000001,-0.3744520508064315,160985.0,79457.0,79457.0,-1389.0,170910.0,109892.0,133547.0,-93383.0,34925.0,-23434.0,0.0,-105061.0
496,0.0,-1.1141338336460287,2015.0,4381.0,4381.0,4381.0,4381.0,5664.0,6107.0,-5762.0,0.0,0.0,0.0,-7126.0
497,0.0,-0.02948284084970825,1217707.0,2288061.0,2288061.0,-58686.0,3116532.0,177528.0,253181.0,-115010.0,876293.0,-121073.0,7163.0,-268851.0
498,315.009,0.17023763436868594,199700.0,1685970.0,1685970.0,1622286.0,1685970.0,268137.0,12553.0,526956.0,967775.0,-587247.0,0.0,398109.0
499,-21.525000000000002,-1.4394475438835215,2957.0,11741.0,11741.0,11741.0,11741.0,14153.0,13510.0,-18919.0,0.0,-166.643,0.0,-21157.0
500,-95.4674,-0.3247020914799156,57518.0,244756.0,244753.0,244753.0,244753.0,100041.0,149928.0,-83175.0,10680.0,-157453.0,0.0,-98149.0
501,0.0,-0.08977171601953354,321991.0,535406.0,516135.0,516135.0,516135.0,126266.0,-4300.0,-78705.0,256577.0,120018.0,0.0,-76642.0
502,-148.53539999999998,-0.6884215848501563,237668.0,-20108.0,-20108.0,-20108.0,173481.0,82253.0,29018.0,-148758.0,72957.0,114764.0,0.0,-149773.0
503,-136.38299999999998,-0.612120887651578,73669.0,150473.0,150473.0,150473.0,150473.0,57343.0,-463.0,-113866.0,14874.0,126176.0,0.0,-137202.0
504,-30.4215,-0.13852338353527346,32651.0,55659.0,55659.0,50153.0,81513.0,72184.0,68734.0,-9711.0,40387.0,-103.0,72.09,-12013.0
506,0.0,-0.0046306728559196,5979.0,82777.0,82777.0,82777.0,82777.0,11965.0,28775.0,5517.0,32528.0,-29046.0,0.0,409.0
507,-36.3776,-0.1626300980686754,27487.0,155548.0,155548.0,155548.0,155548.0,173796.0,54805.0,-34490.0,100557.0,69417.0,-264.5,-36641.0
508,14.2604,0.11139562743336329,15448.0,118112.0,115956.0,107215.0,116270.0,13882.0,-6622.0,19448.0,87193.0,-18579.0,42.949,22519.0
509,-19.8927,-0.08463027175227804,55860.0,167358.0,167358.0,167358.0,167358.0,200158.0,142015.0,34215.0,28947.0,-18261.0,0.0,-18746.0
510,-34.1616,-0.5535373241605914,12434.0,84956.0,84955.0,84912.0,84955.0,74571.0,114589.0,-52322.0,0.0,-3022.0,0.0,-53768.0
511,-89.4726,-0.7486214109146225,23286.0,87153.0,87153.0,87153.0,87153.0,97805.0,64343.0,-39483.0,0.0,-944.0,0.0,-82677.0
512,0.0,-0.23327089337175794,102888.0,-33488.0,-33488.0,-33488.0,-33488.0,67121.0,52187.0,-13690.0,0.0,-456.0,0.0,-15938.0
513,-8.7906,-0.06371137977355594,596.0,77569.0,77569.0,77569.0,77569.0,77598.0,-799.0,-2231.0,0.0,0.0,0.0,-4221.0
514,-123.7467,-0.4298935158041084,29304.0,255527.0,255527.0,255527.0,255527.0,269708.0,2705.0,-99571.0,0.0,-2716.0,0.0,-122447.0
